clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
3,1076,0,0,1,0,0,1,0,0,0,0,0,0,-0.8084587701876588,0.46896953212558024,-1.5371452897501228,-0.8407161408340389,-0.8846466806352641,-0.757601475763754
3,5370,0,0,0,0,1,0,0,0,0,1,0,0,0.5251305341116285,-1.916440081212317,0.6928903453996215,0.8438918552227189,0.8738963493564523,0.5481989269426515
4,732,0,0,0,1,0,1,0,0,0,0,0,0,-1.0376694318640987,-0.37293974317014555,0.6928903453996215,-1.2308358872892886,-1.2863443270800727,-1.1973097746342785
5,936,0,0,1,0,0,0,0,0,1,0,0,0,-0.9959947661047459,-0.4430988494447906,-1.091138162720174,-1.133305950675476,-1.1702983403293503,-1.1040383172981068
1,9385,0,0,0,1,0,0,0,0,0,1,0,0,1.6503465096141519,0.6092877446748703,0.6928903453996215,1.5000023378974565,1.4898327405718255,1.4675890063992016
4,453,0,0,0,0,1,0,0,1,0,0,0,0,-1.1210187633828042,-1.5656445498390967,0.24688321836967267,-1.3726976132730158,-1.3399040132727134,-1.3838526893066223
2,3917,0,0,0,1,0,0,1,0,0,0,0,0,0.212570540916483,-1.004371699641946,1.1388974724295704,0.48037118238941834,0.418639016719003,0.2950335427444703
0,6091,0,1,0,0,0,0,0,0,0,1,0,0,2.6297011549589406,1.8019925513438164,0.24688321836967267,2.040850168210415,2.0165029881327965,2.14713819556274
2,687,0,0,0,0,1,0,1,0,0,0,0,0,-0.829296103067335,-0.6535761682687258,2.030911726489468,-0.8939142880779369,-0.8667934519043841,-0.877521920910261
2,3985,0,0,1,0,0,0,0,0,0,1,0,0,0.27508253955551215,-0.0923033180715703,-1.5371452897501228,0.49810389813738465,0.5346850034697254,0.468251963511647
1,3991,1,0,0,0,0,0,1,0,0,0,0,0,0.4417812025929229,-3.4599404192544885,3.8149402346092636,0.7995600658528044,0.75785036260573,0.28170904883930314
5,629,0,0,1,0,0,0,0,0,0,0,0,1,-0.8709707688266878,0.18833310702700495,-1.091138162720174,-0.9382460774478515,-0.9292797524624649,-0.8508729330999262
3,6036,0,0,0,0,1,0,0,0,1,0,0,0,0.48345586835227566,0.25849221330165,-0.19912390866027618,0.60450019262518,0.6685842189513285,0.6148213964684882
4,1982,0,0,1,0,0,1,0,0,0,0,0,0,-0.475061444112837,0.048014894477714835,-1.091138162720174,-0.3707991735129437,-0.3222699756125325,-0.3178931768932302
2,3145,0,0,0,1,0,1,0,0,0,0,0,0,-0.037477453639633306,-0.5834170619940807,-1.091138162720174,0.24097951979187937,0.17762042885211757,0.12181512197729417
